,id,brand,model,year,color,price,fuel_type,transmission,mileage,condition,
39,40,Nissan,Maxima,2023,Red,37000,petrol,automatic,5000.0,used,
40,41,Hyundai,Santa Fe,2022,White,35000,petrol,automatic,13000.0,used,
41,42,Kia,Sorento,2021,Black,33000,petrol,automatic,17000.0,used,
42,43,Volkswagen,Atlas,2023,Gray,40000,petrol,automatic,4000.0,used,
43,44,Subaru,Ascent,2022,Blue,39000,petrol,automatic,12000.0,used,
44,45,Mazda,CX-9,2021,Silver,37000,petrol,,15000.0,used,
45,46,Lexus,NX,2023,White,47000,petrol,automatic,4000.0,used,
46,47,Volvo,S60,2022,Black,42000,petrol,automatic,8000.0,used,
47,48,Tesla,Model S,2023,Red,85000,electric,automatic,1000.0,new,
48,49,Toyota,Corolla,2022,Blue,22000,petrol,automatic,14000.0,used,
49,50,Honda,Civic,2023,White,24000,petrol,manual,6000.0,used,
50,51,Ford,Escape,2021,Silver,26000,petrol,automatic,18000.0,used,
51,52,Chevrolet,Traverse,2020,Black,38000,petrol,automatic,24000.0,used,
52,53,BMW,5 Series,2023,Gray,52000,petrol,automatic,2000.0,used,
53,54,Mercedes,S-Class,2022,Black,95000,petrol,automatic,8000.0,used,
54,55,Audi,Q7,2021,White,68000,diesel,automatic,15000.0,used,
55,56,Nissan,Sentra,2023,Red,21000,petrol,automatic,3000.0,used,
56,57,Hyundai,Kona,2022,Blue,23000,petrol,automatic,10000.0,used,
57,58,Kia,Forte,2021,White,19000,petrol,manual,20000.0,used,
58,59,Volkswagen,Passat,2023,Black,29000,diesel,automatic,5000.0,used,
59,60,Subaru,Impreza,2022,Green,25000,petrol,automatic,11000.0,used,
60,61,Mazda,6,2021,Silver,27000,petrol,automatic,13000.0,used,
61,62,Lexus,GX,2023,White,62000,petrol,automatic,3000.0,used,
62,63,Volvo,XC40,2022,Black,38000,petrol,automatic,9000.0,used,
63,64,Tesla,Model X,2023,White,92000,electric,automatic,1500.0,new,
64,65,Toyota,Tacoma,2022,Gray,36000,petrol,manual,12000.0,used,
65,66,Honda,Ridgeline,2023,Black,41000,petrol,automatic,8000.0,used,
66,67,Ford,Ranger,2021,White,32000,diesel,manual,19000.0,used,
67,68,Chevrolet,Colorado,2020,Blue,29000,petrol,automatic,22000.0,used,
68,69,BMW,X7,2023,Black,78000,petrol,automatic,1000.0,used,
69,70,Mercedes,GLE,2022,Silver,67000,petrol,automatic,7000.0,used,
70,71,Audi,TT,2021,Red,45000,petrol,manual,8000.0,used,
71,72,Nissan,Frontier,2023,White,33000,petrol,automatic,4000.0,used,
72,73,Hyundai,Veloster,2022,Blue,26000,petrol,manual,11000.0,used,
73,74,Kia,Soul,2021,Green,20000,petrol,automatic,16000.0,used,
74,75,Volkswagen,Golf,2023,Black,28000,petrol,manual,2000.0,used,
75,76,Subaru,Legacy,2022,Gray,29000,petrol,automatic,10000.0,used,
76,77,Mazda,MX-5 Miata,2021,Red,32000,petrol,manual,5000.0,used,
77,78,Lexus,IS,2023,White,43000,petrol,automatic,2000.0,used,
78,79,Volvo,V60,2022,Black,46000,petrol,automatic,6000.0,used,
79,80,Tesla,Cybertruck,2023,Silver,70000,electric,automatic,0.0,new,
80,81,Toyota,4Runner,2022,Black,42000,petrol,automatic,9000.0,used,
81,82,Honda,HR-V,2023,White,27000,petrol,automatic,5000.0,used,
82,83,Ford,Bronco,2021,Green,45000,petrol,manual,6000.0,used,
83,84,Chevrolet,Blazer,2020,Red,34000,petrol,automatic,18000.0,used,
84,85,BMW,Z4,2023,Blue,54000,petrol,manual,1000.0,used,
85,86,Mercedes,CLA,2022,Black,48000,petrol,automatic,4000.0,used,
86,87,Audi,A3,2021,White,35000,petrol,automatic,12000.0,used,
87,88,Nissan,Pathfinder,2023,Gray,39000,petrol,automatic,3000.0,used,
88,89,Hyundai,Palisade,2022,Silver,,petrol,automatic,8000.0,used,
89,90,Kia,Telluride,2021,Black,47000,petrol,automatic,10000.0,used,
90,91,Volkswagen,Arteon,2023,Blue,43000,petrol,automatic,2000.0,used,
91,92,Subaru,Crosstrek,2022,Orange,28000,petrol,automatic,9000.0,used,
92,93,Mazda,CX-30,2021,Red,25000,petrol,automatic,11000.0,used,
93,94,Lexus,LC,2023,Black,92000,petrol,automatic,500.0,used,
94,95,Volvo,C40,2022,Blue,44000,electric,automatic,4000.0,used,
95,96,Tesla,Roadster,2023,Red,200000,electric,automatic,0.0,new,
96,97,Toyota,Sienna,2022,White,38000,hybrid,automatic,7000.0,used,
97,98,Honda,Odyssey,2023,Gray,36000,petrol,automatic,5000.0,used,
98,99,Ford,Transit,2021,White,35000,diesel,automatic,25000.0,used,
99,100,Chevrolet,Express,2020,Black,30000,petrol,automatic,30000.0,used,
